"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","entrezgene_id"
"21549","224998_at",0.181889996742666,5.28330775144245,1.09487167145888,0.274145421475708,0.380691799723378,-6.4465428470825,146223
"21550","233350_s_at",0.107218277874438,6.39770918093297,1.09478419157144,0.274183713015954,0.380727305257049,-6.44663786197857,51368
"21551","231276_at",0.0742719464781443,5.97651807350809,1.09471628193019,0.274213440830385,0.380750916588949,-6.44671161575431,NA
"21552","57516_at",0.114637399254293,5.84140069187406,1.09458707124744,0.27427000960928,0.380803342882224,-6.44685193341861,92595
"21553","214578_s_at",-0.150673351284588,7.05340747935817,-1.0945503857132,0.274286072090981,0.380803342882224,-6.44689176944719,727758
"21554","1568986_x_at",0.0753245270784655,6.60923165833868,1.09454284267579,0.274289374832357,0.380803342882224,-6.44689996010387,51604
"21555","211769_x_at",0.129592648528797,8.36334568044423,1.09437433348711,0.274363164187919,0.380888115293866,-6.4470829222732,10955
"21556","230092_at",-0.0727396956938833,5.91928388808116,-1.09427425996883,0.274406992333754,0.380931287743332,-6.44719156580336,127733
"21557","203228_at",0.126673263425256,7.49535603067669,1.09400926507343,0.274523072532939,0.381074751703654,-6.44747920637321,5050
"21558","234586_at",-0.0636452667444187,4.99298995450358,-1.09396717157101,0.274541514558687,0.381082673794143,-6.4475248906826,NA
"21559","212122_at",0.152112929350011,3.87875331059019,1.0937221456771,0.2746488822753,0.381214024454106,-6.44779078391665,23433
"21560","228548_at",-0.158438780889101,5.34388194322166,-1.09330992606164,0.27482957739026,0.381447137004922,-6.44823797603956,5906
"21561","226895_at",0.103759605245678,8.99889923657245,1.09325957826815,0.274851652759669,0.381460083353292,-6.44829258382292,4782
"21562","1569105_at",0.0812776970639852,7.74699890076049,1.09302197311517,0.274955848921243,0.381586996712701,-6.44855025928443,55209
"21563","222987_s_at",-0.132782924479125,7.48678042000923,-1.09281330625052,0.27504737718692,0.381696318459463,-6.4487765061138,252839
"21564","211377_x_at",-0.0690968886205026,4.73824461955976,-1.09277723365091,0.275063201950802,0.381700577591161,-6.44881561343576,4613
"21565","204331_s_at",-0.149958110882686,7.71900203279878,-1.09255072214209,0.275162585007732,0.381820783388425,-6.44906115159747,6183
"21566","243285_at",-0.0776252086892883,5.69988280978909,-1.09251457011122,0.275178449167289,0.381825091017433,-6.44910033566319,283335
"21567","32062_at",0.0654634813392247,5.81550211169932,1.09178422337015,0.275499072559063,0.38225224867888,-6.44989165961835,9684
"21568","1568191_at",0.0665581060878297,4.73521622496614,1.09161811610509,0.275572029598563,0.382335748039104,-6.45007156182843,867
"21569","242120_at",0.0687702996373929,4.26279038986775,1.09156398835476,0.275595806252491,0.382351008683738,-6.4501301789202,25862
"21570","218957_s_at",-0.170167466600637,6.75502905608087,-1.09148426490547,0.275630828866144,0.382381869401507,-6.45021650934581,80227
"21571","207578_s_at",-0.0813951663698385,6.81597492965918,-1.09138719496408,0.275673475928872,0.382407220275444,-6.45032161536284,3360
"21572","220888_s_at",0.0778306583909965,3.73319403754436,1.09138449774239,0.275674661000598,0.382407220275444,-6.45032453574523,57091
"21573","206836_at",0.0584851379817319,4.9112832864852,1.09119325590573,0.275758695349431,0.382506058482193,-6.4505315820973,6531
"21574","211302_s_at",0.308986012816305,7.21577658039674,1.09108156968646,0.275807779951351,0.382556410830825,-6.45065248153996,5142
"21575","214555_at",0.0755441508842774,4.51997547243644,1.09098331098651,0.275850968282042,0.382598580527084,-6.4507588356204,6755
"21576","235388_at",0.174574808855965,3.59446278826911,1.090797041715,0.275932853214883,0.382694415072403,-6.45096042517277,80205
"21577","212465_at",0.106395880634928,8.42496714138126,1.09068964030723,0.2759800749877,0.38274216823154,-6.45107664457076,84193
"21578","232046_at",-0.0696864997206825,4.21858146340429,-1.09056689646486,0.276034049224856,0.382782761966916,-6.45120945212524,56243
"21579","218147_s_at",-0.231340119076148,6.42921318245335,-1.0905648955008,0.276034929170034,0.382782761966916,-6.4512116170243,55830
"21580","207070_at",-0.0664270598326739,4.12903684540548,-1.09036679999824,0.276122053270731,0.382885835128514,-6.45142592253327,5995
